trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-37.77422376522125,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,10,-6.0433322093525845,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-215.98174643535603,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-43.25076762043752,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-84.87391852185485,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-64.61432005791343,"{0: 18, 1: 3, 2: 1, 3: 3, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,5,0.9134488270362169,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",35,24,-35.768658357260755,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-107.3840022080729,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-103.76514099169601,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,5,6.150289540081937,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-166.90359234096815,"{0: 18, 1: 1, 2: 6, 3: 4, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,8,-31.313194795777612,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-52.70746711574509,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-85.20793092102359,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-107.05151130266881,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",30,7,-101.77020375923232,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,16,6.487878561113905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-86.98247824637521,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-31.270878537021723,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-94.6718232056213,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.559898366565402}",30,0,-81.41114392059077,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-45.14787478076944,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,4,-1.1927001916120115,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,6,-38.665755193604916,"{0: 8, 1: 4, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-37.934364637206265,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-11.105699722777235,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-108.9812910790341,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-64.05045805091339,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-102.28209043765662,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,13,9.627694435268978,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-46.84492578760257,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-39.265936313475414,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",35,15,-42.75313952946693,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,-90.67104700774573,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-100.67164312951846,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
